"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1285","Get by Role - Buttons","","2026-03-20","passed","2026-03-20","","locators\GetByRole.spec.ts","",""
"","1289","Get by Role - Buttons","","2026-03-20","passed","2026-03-20","","locators\1GetByRole.spec.ts","",""
"","1483","Form is completed - clear button clears inputs","","2026-03-20","passed","2026-03-20","","practice\Form.refactored.spec.ts","",""
"","1225","Click actions","","2026-03-20","passed","2026-03-20","","actions\Click.spec.ts","",""
"","4035","Download","","2026-03-20","passed","2026-03-20","","actions\11Files.spec.ts","",""
"","9","Fields are completed","","2026-03-20","passed","2026-03-20","Complete form","configure\3Describe\3Annotations.spec.ts","",""
"","6","Data is stored to memory","","2026-03-20","passed","2026-03-20","Save data","configure\3Describe\3Annotations.spec.ts","",""
"","2","With all fields","","2026-03-20","passed","2026-03-20","Form is completed correctly","configure\3Describe\2Hooks.spec.ts","",""
"","1090","Form is NOT submitted if user selects NO on dialog","","2026-03-20","passed","2026-03-20","","practice\Form.spec.ts","",""
"","2","Fields are completed","","2026-03-20","passed","2026-03-20","Form is completed correctly","configure\3Describe\2Hooks.spec.ts","",""
"","1370","N-th element locator - list items","","2026-03-20","passed","2026-03-20","","locators\6ChildrenParents.spec.ts","",""
"","1548","Click actions with options","","2026-03-20","passed","2026-03-20","","actions\2Click.spec.ts","",""
"","21","Test 1","","2026-03-20","passed","2026-03-20","","configure\2hooks\1First.spec.ts","",""
"","12","Test 3","","2026-03-20","passed","2026-03-20","","configure\1Annotations\3Only.spec.ts","",""
"","978","Get by Role practice - heading","","2026-03-20","passed","2026-03-20","","locators\1GetByRole.spec.ts","",""
"","12","Unknown error","","2026-03-20","passed","2026-03-20","Save data > Errors while saving data","configure\3Describe\3Annotations.spec.ts","",""
"","3","Fields are completed","","2026-03-20","skipped","2026-03-20","This test block will be skipped","configure\3Describe\3Annotations.spec.ts","",""
"","3","Data is saved","","2026-03-20","passed","2026-03-20","Save data","configure\3Describe\1First.spec.ts","",""
"","702","Mobile features","","2026-03-20","skipped","2026-03-20","","configure\1Annotations\2Skip.spec.ts","",""
"","1885","Setting options - wrong approach","","2026-03-20","passed","2026-03-20","","configure\5Use\Use.spec.ts","",""
"","1156","Child locators","","2026-03-20","passed","2026-03-20","","locators\6ChildrenParents.spec.ts","",""
"","1027","Form is completed - clear button does not clear inputs if dialog rejected","","2026-03-20","passed","2026-03-20","","practice\Form.refactored.spec.ts","",""
"","9","Invalid data","","2026-03-20","passed","2026-03-20","Save data > Errors while saving data","configure\3Describe\3Annotations.spec.ts","",""
"","2","Network error","","2026-03-20","passed","2026-03-20","Save data > Errors while saving data","configure\3Describe\2Hooks.spec.ts","",""
"","612","Handle Cookies inside test","","2026-03-20","passed","2026-03-20","","actions\Cookies.spec.ts","",""
"","5","Unknown error","","2026-03-20","passed","2026-03-20","Save data > Errors while saving data","configure\3Describe\1First.spec.ts","",""
"","3343","Nth element locator - list items","","2026-03-20","passed","2026-03-20","","locators\ChildParent.spec.ts","",""
"","8","Data is saved","","2026-03-20","passed","2026-03-20","Save data","configure\3Describe\3Annotations.spec.ts","",""
"","3942","Monitor requests from inside a page - playwright.dev","","2026-03-20","passed","2026-03-20","","actions\10EventRequests.spec.ts","",""
"","16","Test 1","","2026-03-20","passed","2026-03-20","","configure\1Annotations\3Only.spec.ts","",""
"","1013","Form is NOT submitted if user selects NO on dialog","","2026-03-20","passed","2026-03-20","","practice\Form.refactored.spec.ts","",""
"","5","With all fields","","2026-03-20","passed","2026-03-20","Complete form","configure\3Describe\3Annotations.spec.ts","",""
"","1086","Click actions with Key Down","","2026-03-20","passed","2026-03-20","","actions\Click.spec.ts","",""
"","2","With minimal fields","","2026-03-20","passed","2026-03-20","Form is completed correctly","configure\3Describe\2Hooks.spec.ts","",""
"","1495","Saving storage - data is cleared - accept dialog","","2026-03-20","passed","2026-03-20","","actions\8Dialogs.spec.ts","",""
"","752","Key actions","","2026-03-20","passed","2026-03-20","","actions\Key.spec.ts","",""
"","716","GET Users API - Validate response","","2026-03-20","passed","2026-03-20","","api\user.api.spec.ts","",""
"","1160","Form is NOT submitted without minimal fields","","2026-03-20","passed","2026-03-20","","practice\Form.spec.ts","",""
"","5302","Auto-waiting feature","","2026-03-20","passed","2026-03-20","","locators\0Intro.spec.ts","",""
"","1049","Form is completed - save data button saves data","","2026-03-20","passed","2026-03-20","","practice\Form.spec.ts","",""
"","14","Network error","","2026-03-20","passed","2026-03-20","Errors while saving data","configure\4Tags\1Tags.spec.ts","",""
"","1210","Child locators","","2026-03-20","passed","2026-03-20","","locators\ChildParent.spec.ts","",""
"","1025","Click actions with Options - Right Click","","2026-03-20","passed","2026-03-20","","actions\Click.spec.ts","",""
"","6620","Storage - load from configuration","","2026-03-20","failed","2026-03-20","","actions\7PreloadedStorage.spec.ts","",""
"","2478","Using file config","","2026-03-20","passed","2026-03-20","","configure\5Use\Use.spec.ts","",""
"","1609","Get by Role practice - heading","","2026-03-20","passed","2026-03-20","","locators\GetByRole.spec.ts","",""
"","1375","Form is completed - clear button clears memory","","2026-03-20","passed","2026-03-20","","practice\Form.refactored.spec.ts","",""
"","609","Get by text practice - error messages","","2026-03-20","passed","2026-03-20","","locators\2GetByText.spec.ts","",""
"","1447","Get by Role - list","","2026-03-20","passed","2026-03-20","","configure\2hooks\3GetByRole.spec.ts","",""
"","6","Invalid data","","2026-03-20","passed","2026-03-20","Save data > Errors while saving data","configure\3Describe\1First.spec.ts","",""
"","1150","Click actions with Key Down","","2026-03-20","passed","2026-03-20","","actions\CheckSelectOptions.spec.ts","",""
"","4508","Fill actions","","2026-03-20","passed","2026-03-20","","actions\1Key.Spec.ts","",""
"","4235","Observe location","","2026-03-20","passed","2026-03-20","","configure\6Device\3Location.spec.ts","",""
"","1419","Get By test id - accept cookies","","2026-03-20","passed","2026-03-20","","locators\GetByTestID.spec.ts","",""
"","5355","Check for failed requests","","2026-03-20","passed","2026-03-20","","actions\10EventRequests.spec.ts","",""
"","321","POST Create User - Validate response","","2026-03-20","passed","2026-03-20","","api\user.api.spec.ts","",""
"","2387","Form is submitted with required fields","","2026-03-20","passed","2026-03-20","","practice\Form.spec.ts","",""
"","10489","Get By Label practice - inside forms","","2026-03-20","passed","2026-03-20","","locators\GetByLabel.spec.ts","",""
"","1812","Get by test id - accept cookies","","2026-03-20","passed","2026-03-20","","locators\4GetByTestId.spec.ts","",""
"","878","Fill actions","","2026-03-20","passed","2026-03-20","","actions\Key.spec.ts","",""
"","38","Fields are completed","","2026-03-20","passed","2026-03-20","","configure\4Tags\1Tags.spec.ts","",""
"","944","Get by label practice - inside forms","","2026-03-20","passed","2026-03-20","","locators\3GetByLabel.spec.ts","",""
"","11","With all fields","","2026-03-20","passed","2026-03-20","","configure\4Tags\1Tags.spec.ts","",""
"","1740","Storage - configure inside the test","","2026-03-20","passed","2026-03-20","","actions\7PreloadedStorage.spec.ts","",""
"","1226","Storage - configure inside the test","","2026-03-20","passed","2026-03-20","","actions\PreloadedStorage.spec.ts","",""
"","623","Get by Role practice - heading","","2026-03-20","passed","2026-03-20","","configure\2hooks\3GetByRole.spec.ts","",""
"","5467","Complex button test - Wrong Approach - with good results","","2026-03-20","passed","2026-03-20","","actions\ComplexButton.spec.ts","",""
"","5296","Complex button test - wrong approach - with good results","","2026-03-20","passed","2026-03-20","","actions\4ComplexButton.spec.ts","",""
"","4","Data is loaded","","2026-03-20","passed","2026-03-20","Save data","configure\3Describe\1First.spec.ts","",""
"","22","GetFlightData test","","2026-03-20","passed","2026-03-20","","configure\1Annotations\1Fail.spec.ts","",""
"","1336","N-th element locator - buttons","","2026-03-20","passed","2026-03-20","","locators\6ChildrenParents.spec.ts","",""
"","2045","Setting options inside the test","","2026-03-20","passed","2026-03-20","","configure\5Use\Use.spec.ts","",""
"","10","Invalid data","","2026-03-20","passed","2026-03-20","Errors while saving data","configure\4Tags\1Tags.spec.ts","",""
"","2","Data is saved","","2026-03-20","passed","2026-03-20","Save data","configure\3Describe\2Hooks.spec.ts","",""
"","17","Test 2","","2026-03-20","passed","2026-03-20","","configure\2hooks\2Second.spec.ts","",""
"","8","With minimal fields","","2026-03-20","passed","2026-03-20","Complete form","configure\3Describe\3Annotations.spec.ts","",""
"","887","Saving Storage - correct load","","2026-03-20","passed","2026-03-20","","actions\Storage.spec.ts","",""
"","28","Failing test - 1","","2026-03-20","passed","2026-03-20","","configure\1Annotations\1Fail.spec.ts","",""
"","8","With all fields","","2026-03-20","passed","2026-03-20","Form is completed correctly","configure\3Describe\1First.spec.ts","",""
"","1050","Form is submitted with required fields","","2026-03-20","passed","2026-03-20","","practice\Form.refactored.spec.ts","",""
"","5467","Complex button test - good approach","","2026-03-20","passed","2026-03-20","","actions\4ComplexButton.spec.ts","",""
"","10","Test 4","","2026-03-20","passed","2026-03-20","","configure\1Annotations\3Only.spec.ts","",""
"","1","With minimal fields","","2026-03-20","skipped","2026-03-20","This test block will be skipped","configure\3Describe\3Annotations.spec.ts","",""
"","3730","Click actions","","2026-03-20","passed","2026-03-20","","actions\2Click.spec.ts","",""
"","1090","Storage - load from configuration","","2026-03-20","passed","2026-03-20","","actions\PreloadedStorage.spec.ts","",""
"","1096","Form is completed - clear button does not clear inputs if dialog rejected","","2026-03-20","passed","2026-03-20","","practice\Form.spec.ts","",""
"","2","Testing for an unfinished feature","","2026-03-20","skipped","2026-03-20","","configure\1Annotations\2Skip.spec.ts","",""
"","3","Fields are completed","","2026-03-20","passed","2026-03-20","Form is completed correctly","configure\3Describe\1First.spec.ts","",""
"","13","With minimal fields","","2026-03-20","passed","2026-03-20","","configure\4Tags\1Tags.spec.ts","",""
"","7","With minimal fields","","2026-03-20","passed","2026-03-20","Form is completed correctly","configure\3Describe\1First.spec.ts","",""
"","1248","Parent locators","","2026-03-20","passed","2026-03-20","","locators\6ChildrenParents.spec.ts","",""
"","4","Test 1","","2026-03-20","passed","2026-03-20","","configure\2hooks\2Second.spec.ts","",""
"","3","Data is stored to memory","","2026-03-20","passed","2026-03-20","Save data","configure\3Describe\1First.spec.ts","",""
"","5588","Complex button test - wrong approach","","2026-03-20","failed","2026-03-20","","actions\4ComplexButton.spec.ts","",""
"","1369","Form is completed - save data button saves data","","2026-03-20","passed","2026-03-20","","practice\Form.refactored.spec.ts","",""
"","5231","Complex button test - Good Approach","","2026-03-20","passed","2026-03-20","","actions\ComplexButton.spec.ts","",""
"","5","Network error","","2026-03-20","passed","2026-03-20","Save data > Errors while saving data","configure\3Describe\1First.spec.ts","",""
"","1233","Form is NOT submitted without minimal fields","","2026-03-20","passed","2026-03-20","","practice\Form.refactored.spec.ts","",""
"","6493","Observe window","","2026-03-20","passed","2026-03-20","","configure\6Device\2Emulation.spec.ts","",""
"","1154","check for errors inside the console","","2026-03-20","passed","2026-03-20","","actions\9EventsConsole.spec.ts","",""
"","590","Get by text practice - hidden elements","","2026-03-20","passed","2026-03-20","","locators\2GetByText.spec.ts","",""
"","1","Fix faulty test","","2026-03-20","skipped","2026-03-20","","configure\1Annotations\2Skip.spec.ts","",""
"","1244","Get by Role - Buttons","","2026-03-20","passed","2026-03-20","","configure\2hooks\3GetByRole.spec.ts","",""
"","927","Get by Role - list","","2026-03-20","passed","2026-03-20","","locators\1GetByRole.spec.ts","",""
"","1433","Get by text practice","","2026-03-20","passed","2026-03-20","","locators\2GetByText.spec.ts","",""
"","2399","Click actions - with key down","","2026-03-20","passed","2026-03-20","","actions\2Click.spec.ts","",""
"","1870","Saving storage - correct load","","2026-03-20","passed","2026-03-20","","actions\6Storage.spec.ts","",""
"","5","Invalid data","","2026-03-20","passed","2026-03-20","Save data > Errors while saving data","configure\3Describe\2Hooks.spec.ts","",""
"","2518","Using config from describe block","","2026-03-20","passed","2026-03-20","Grouped tests","configure\5Use\Use.spec.ts","",""
"","1849","Check actions","","2026-03-20","passed","2026-03-20","","actions\3CheckSelect.spec.ts","",""
"","8687","Observe window","","2026-03-20","passed","2026-03-20","","configure\6Device\1Device.spec.ts","",""
"","1309","Get by text practice - error messages","","2026-03-20","passed","2026-03-20","","locators\GetByText.spec.ts","",""
"","16","Data is loaded","","2026-03-20","passed","2026-03-20","Save data","configure\3Describe\3Annotations.spec.ts","",""
"","6059","Auto-waiting feature - one liners","","2026-03-20","passed","2026-03-20","","locators\0Intro.spec.ts","",""
"","1730","Selection actions","","2026-03-20","passed","2026-03-20","","actions\CheckSelectOptions.spec.ts","",""
"","3","Data is stored to memory","","2026-03-20","passed","2026-03-20","Save data","configure\3Describe\2Hooks.spec.ts","",""
"","12","Test 2","","2026-03-20","passed","2026-03-20","","configure\2hooks\1First.spec.ts","",""
"","13","Network error","","2026-03-20","passed","2026-03-20","Save data > Errors while saving data","configure\3Describe\3Annotations.spec.ts","",""
"","1611","Css selectors","","2026-03-20","passed","2026-03-20","","locators\5Css.spec.ts","",""
"","1888","Selection actions","","2026-03-20","passed","2026-03-20","","actions\3CheckSelect.spec.ts","",""
"","1938","Nth element locator - buttons","","2026-03-20","passed","2026-03-20","","locators\ChildParent.spec.ts","",""
"","1515","Saving storage - data is not cleared - reject dialog","","2026-03-20","passed","2026-03-20","","actions\8Dialogs.spec.ts","",""
"","1897","Key actions","","2026-03-20","passed","2026-03-20","","actions\1Key.Spec.ts","",""
"","1136","Form is submitted with required fields - form is cleared after submit","","2026-03-20","passed","2026-03-20","","practice\Form.spec.ts","",""
"","1968","Get by Role - link","","2026-03-20","passed","2026-03-20","","configure\2hooks\3GetByRole.spec.ts","",""
"","1321","Parent locators","","2026-03-20","passed","2026-03-20","","locators\ChildParent.spec.ts","",""
"","3","Unknown error","","2026-03-20","passed","2026-03-20","Save data > Errors while saving data","configure\3Describe\2Hooks.spec.ts","",""
"","969","Form is completed - clear button clears inputs","","2026-03-20","passed","2026-03-20","","practice\Form.spec.ts","",""
"","4025","Upload files","","2026-03-20","passed","2026-03-20","","actions\11Files.spec.ts","",""
"","4029","Valid Login","","2026-03-20","passed","2026-03-20","","login.spec.ts","",""
"","2","Data is loaded","","2026-03-20","passed","2026-03-20","Save data","configure\3Describe\2Hooks.spec.ts","",""
"","969","Get by text practice","","2026-03-20","passed","2026-03-20","","locators\GetByText.spec.ts","",""
"","1617","Get by Role - list","","2026-03-20","passed","2026-03-20","","locators\GetByRole.spec.ts","",""
"","1641","Handle cookies inside test","","2026-03-20","passed","2026-03-20","","actions\5Cookies.spec.ts","",""
"","9","Unknown error","","2026-03-20","passed","2026-03-20","Errors while saving data","configure\4Tags\1Tags.spec.ts","",""
"","1686","Form is completed - clear button clears memory","","2026-03-20","passed","2026-03-20","","practice\Form.spec.ts","",""
"","5188","Complex button test - Wrong Approach","","2026-03-20","failed","2026-03-20","","actions\ComplexButton.spec.ts","",""
"","1288","Get by test id - decline cookies","","2026-03-20","passed","2026-03-20","","locators\4GetByTestId.spec.ts","",""
"","2199","Get by Role - link","","2026-03-20","passed","2026-03-20","","locators\GetByRole.spec.ts","",""
"","1","With all fields","","2026-03-20","skipped","2026-03-20","This test block will be skipped","configure\3Describe\3Annotations.spec.ts","",""
"","1347","CSS selectors","","2026-03-20","passed","2026-03-20","","locators\Css.spec.ts","",""
"","2271","Form is submitted with required fields - form is cleared after submit","","2026-03-20","passed","2026-03-20","","practice\Form.refactored.spec.ts","",""
"","22","Test 2","","2026-03-20","passed","2026-03-20","","configure\1Annotations\3Only.spec.ts","",""
"","30178","Get by text practice - hidden Elements","","2026-03-20","broken","2026-03-20","","locators\GetByText.spec.ts","",""
"","720","Get by Role - link","","2026-03-20","passed","2026-03-20","","locators\1GetByRole.spec.ts","",""
